Groningen;1,7;48,4;49,9;35,2;14,7
Friesland;1,3;48,3;50,4;37;13,4
Drenthe;1,6;45,5;52,9;37,2;15,7
Overijssel;1,5;48,1;50,4;36,7;13,7
Flevoland;1,7;45,9;52,4;37,5;14,9
Gelderland;1,6;49,1;49,4;35,5;13,8
Utrecht;2,1;53,9;44;31,9;12,2
Noord-Holland;2;52,9;45,2;32,8;12,4
Zuid-Holland;1,8;48,2;50;35,3;14,7
Zeeland;1,4;47,6;51;37;14
Noord-Brabant;1,6;49,3;49,1;35,5;13,6
Limburg;1,6;46,7;51,7;36,3;15,4
